Date,Open,High,Low,Close,Volume,Adj Close
2012-12-06,38.835,39.125,38.43,38.615,4898700,31.70581
2012-12-05,38.81,38.815,38.285,38.57,4036100,31.66886
2012-12-04,38.64,38.965,38.50,38.525,3399800,31.63191
2012-12-03,38.755,39.185,38.575,38.575,4184700,31.67297
2012-11-30,38.55,39.00,38.455,38.475,5440800,31.59086
2012-11-29,38.49,38.63,38.21,38.565,4122600,31.66475
2012-11-28,37.805,38.30,37.60,38.25,3870400,31.40612
2012-11-27,38.56,38.72,37.845,37.97,5000700,31.17622
2012-11-26,38.47,38.565,38.155,38.42,2867000,31.5457
2012-11-23,38.44,38.605,37.97,38.60,2801300,31.69349
2012-11-22,38.365,38.40,38.015,38.305,2107100,31.45127
2012-11-21,38.085,38.35,37.84,38.22,3013700,31.38148
2012-11-20,37.985,38.235,37.605,38.22,3418300,31.38148
2012-11-19,37.225,38.335,37.155,38.215,5394300,31.37738
2012-11-16,37.41,37.565,36.925,36.975,5927500,30.35924
2012-11-15,37.315,37.695,37.24,37.43,3549200,30.73283
2012-11-14,37.72,38.02,37.505,37.515,4438800,30.80262
2012-11-13,37.50,38.01,37.21,37.98,4348200,31.18442
2012-11-12,38.045,38.07,37.71,37.825,2563400,31.05716
2012-11-09,37.845,38.17,37.415,38.00,4682400,31.20085
2012-11-08,38.435,38.44,37.52,37.695,5187800,30.95042
2012-11-07,39.30,39.365,37.78,37.875,8408300,31.09821
2012-11-06,39.04,39.19,38.72,39.015,4311300,32.03424
2012-11-05,39.175,39.40,38.84,38.84,3786600,31.89055
2012-11-02,39.30,39.695,39.085,39.44,3365700,32.38319
2012-11-01,38.725,39.20,38.39,39.115,4266800,32.11635
2012-10-31,39.20,39.855,38.82,38.82,5790100,31.87413
2012-10-30,38.56,39.265,38.555,38.99,4099100,32.01371
2012-10-29,38.59,38.60,38.175,38.39,2344200,31.52107
2012-10-26,38.12,38.95,38.055,38.71,3714000,31.78381
2012-10-25,38.79,38.96,38.39,38.43,3105800,31.55391
2012-10-24,38.665,38.95,38.45,38.675,3921300,31.75507
2012-10-23,39.525,39.655,38.175,38.455,6248000,31.57444
2012-10-22,39.60,39.895,39.28,39.34,3175800,32.30109
2012-10-19,39.84,40.04,39.525,39.60,5979100,32.51456
2012-10-18,39.935,40.02,39.525,39.84,3767100,32.71162
2012-10-17,39.73,40.11,39.60,40.00,5636000,32.843
2012-10-16,38.875,39.55,38.655,39.55,6044400,32.47351
2012-10-15,38.255,38.96,38.255,38.50,4061300,31.61138
2012-10-12,38.50,38.875,38.135,38.135,3949900,31.31169
2012-10-11,38.01,38.845,37.97,38.75,4127200,31.81665
2012-10-10,38.295,38.59,38.12,38.20,3659500,31.36506
2012-10-09,38.475,38.965,38.11,38.39,4945800,31.52107
2012-10-08,38.54,38.575,38.095,38.29,3496100,31.43896
2012-10-05,38.45,38.90,38.45,38.73,4857100,31.80023
2012-10-04,38.76,38.94,38.12,38.33,4195300,31.4718
2012-10-03,38.88,39.005,38.55,38.735,4743400,31.80434
2012-10-02,39.185,39.445,38.78,39.06,3662900,32.07119
2012-10-01,38.40,39.34,38.40,39.28,4764100,32.25182
2012-09-28,40.02,40.02,38.60,38.60,6208400,31.69349
2012-09-27,39.81,39.94,39.375,39.68,3502200,32.58025
2012-09-26,40.485,40.54,39.61,39.61,5195000,32.52278
2012-09-25,40.65,40.80,40.20,40.74,5978500,33.45059
2012-09-24,39.99,40.94,39.905,40.55,9588800,33.29459
2012-09-21,41.045,41.165,40.48,40.80,14626100,33.03184
2012-09-20,41.01,41.13,40.28,40.81,7091100,33.03994
2012-09-19,41.265,41.67,41.165,41.47,5629900,33.57428
2012-09-18,41.20,41.275,40.715,41.00,5293600,33.19376
2012-09-17,41.67,41.81,41.385,41.42,3248900,33.5338
2012-09-14,41.70,41.995,41.41,41.84,7917000,33.87383
2012-09-13,41.04,41.44,40.89,40.89,4158800,33.10471
2012-09-12,41.30,41.61,40.73,41.05,5574400,33.23424
2012-09-11,40.45,41.195,40.355,41.195,4821000,33.35164
2012-09-10,40.57,40.72,40.34,40.45,3421200,32.74848
2012-09-07,40.65,41.10,40.415,40.545,7537900,32.82539
2012-09-06,39.42,40.50,39.365,40.50,7820700,32.78896
2012-09-05,39.45,39.575,38.82,39.225,4573700,31.75672
2012-09-04,40.10,40.13,39.39,39.42,3309700,31.91459
2012-09-03,39.56,40.13,39.42,40.045,2612200,32.42059
2012-08-31,39.365,39.85,39.20,39.705,4975300,32.14533
2012-08-30,39.375,39.50,39.01,39.17,3462300,31.71219
2012-08-29,39.56,39.715,39.23,39.425,2742400,31.91864
2012-08-28,39.295,39.59,39.145,39.24,2643600,31.76886
2012-08-27,39.16,39.615,38.755,39.60,3140200,32.06032
2012-08-24,39.305,39.595,39.07,39.385,3401700,31.88625
2012-08-23,40.21,40.215,39.06,39.38,5107100,31.88221
2012-08-22,40.14,40.225,39.78,39.805,3567200,32.22629
2012-08-21,40.53,40.675,40.315,40.45,3714500,32.74848
2012-08-20,40.39,40.50,40.105,40.45,2987100,32.74848
2012-08-17,40.45,40.495,40.075,40.38,5125900,32.69181
2012-08-16,40.195,40.25,39.81,40.25,2759500,32.58656
2012-08-15,39.96,40.275,39.72,40.03,2509200,32.40845
